window,n_filings,n_countries,n_concepts,n_ifrs_full,n_extension,pct_facts_extension,eligible_pool_size,selection_rule
train,100,20,2821,1347,1474,14.0359,24376,"eligible = filings with error_count==0, a non-null json_url, and period_end in [2015-01-01, 2025-12-31]; sort eligible filings by (country, period_end, fxo_id); iterate countries alphabetically, take up to 5 per country, stop the moment 100 filings are collected (truncate, never overshoot, the boundary country's contribution)."
holdout,0,0,0,0,0,0.0,24376,"eligible = filings with error_count==0, a non-null json_url, and period_end in [2015-01-01, 2025-12-31]; sort eligible filings by (country, period_end, fxo_id); iterate countries alphabetically, take up to 5 per country, stop the moment 100 filings are collected (truncate, never overshoot, the boundary country's contribution)."
