source,taxonomy,window,code,name,taxonomy_class,measure_class,n_facts,n_filings,resolved_id,tier,confidence,rule,seen_in_train,in_crosswalk,declared_out_of_core,baseline_naive,gold
eurostat_cofog,gfs,holdout,GF0306,Public order and safety n.e.c.,standard,monetary,2303,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0502,Waste water management,standard,monetary,2301,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0201,Military defence,standard,monetary,2300,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0504,Protection of biodiversity and landscape,standard,monetary,2299,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0301,Police services,standard,monetary,2296,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0303,Law courts,standard,monetary,2296,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0205,Defence n.e.c.,standard,monetary,2290,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0304,Prisons,standard,monetary,2288,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0604,Street lighting,standard,monetary,2286,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0305,R&D Public order and safety,standard,monetary,2285,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0806,"Recreation, culture and religion n.e.c.",standard,monetary,2285,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0408,R&D Economic affairs,standard,monetary,2284,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0701,"Medical products, appliances and equipment",standard,monetary,2284,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0203,Foreign military aid,standard,monetary,2279,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF1003,Survivors,standard,monetary,2278,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0503,Pollution abatement,standard,monetary,2264,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0705,R&D Health,standard,monetary,2262,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0505,R&D Environmental protection,standard,monetary,2259,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0102,Foreign economic aid,standard,monetary,2257,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0805,"R&D Recreation, culture and religion",standard,monetary,2253,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0202,Civil defence,standard,monetary,2250,29,,escalated,0.0,,True,False,False,,
