cofog99,cofog99_label_en,na_item,na_item_label_en,window,n_observations,n_countries,n_years,sum_abs_value
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",train,693,30,26,39372.7
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D3,Subsidies,holdout,114,29,5,241.1
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D3,Subsidies,train,661,30,26,2548.9
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4,Property income,holdout,113,28,5,27.3
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4,Property income,train,654,28,26,477.4
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1311,"Property income, of which payable to subsector S1311",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1311,"Property income, of which payable to subsector S1311",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1312,"Property income, of which payable to subsector S1312",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1312,"Property income, of which payable to subsector S1312",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1313,"Property income, of which payable to subsector S1313",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1313,"Property income, of which payable to subsector S1313",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1314,"Property income, of which payable to subsector S1314",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1314,"Property income, of which payable to subsector S1314",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D62,Social benefits other than social transfers in kind,holdout,105,26,5,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D62,Social benefits other than social transfers in kind,train,594,27,26,138.1
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,holdout,105,26,5,0.1
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,train,617,27,26,138.1
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D632,Social transfers in kind - purchased market production,holdout,105,26,5,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D632,Social transfers in kind - purchased market production,train,588,26,26,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7,Other current transfers,holdout,121,30,5,578356.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7,Other current transfers,train,698,30,26,2149350.1
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7_S1311,"Other current transfers,of which payable to subsector S1311",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7_S1311,"Other current transfers,of which payable to subsector S1311",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7_S1312,"Other current transfers,of which payable to subsector S1312",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7_S1312,"Other current transfers,of which payable to subsector S1312",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7_S1313,"Other current transfers,of which payable to subsector S1313",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7_S1313,"Other current transfers,of which payable to subsector S1313",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7_S1314,"Other current transfers,of which payable to subsector S1314",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7_S1314,"Other current transfers,of which payable to subsector S1314",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D9,Capital transfers,holdout,120,30,5,42639.7
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D9,Capital transfers,train,700,30,26,112675.1
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D92,Investment grants,holdout,119,30,5,12568.4
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D92,Investment grants,train,684,30,26,30739.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",NP,Acquisitions less disposals of non-financial non-produced assets,holdout,117,29,5,1430.5
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",NP,Acquisitions less disposals of non-financial non-produced assets,train,683,29,26,15223.5
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,holdout,121,30,5,67119.6
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,train,698,30,26,184920.4
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P2,Intermediate consumption,holdout,121,30,5,208745.4
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P2,Intermediate consumption,train,698,30,26,792199.1
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements",holdout,117,29,5,217857.5
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements",train,672,29,26,817342.9
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P3,Final consumption expenditure,holdout,121,30,5,590464.5
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P3,Final consumption expenditure,train,698,30,26,2235901.7
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P31,Individual consumption expenditure,holdout,77,19,5,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P31,Individual consumption expenditure,train,474,20,26,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P32,Collective consumption expenditure,holdout,109,27,5,459598.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P32,Collective consumption expenditure,train,640,27,26,1872652.2
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P5,Gross capital formation,holdout,121,30,5,67476.4
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P5,Gross capital formation,train,698,30,26,193488.6
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P51G,Gross fixed capital formation,holdout,121,30,5,67991.3
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",P51G,Gross fixed capital formation,train,698,30,26,196880.8
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",TE,Total general government expenditure,holdout,121,30,5,1345467.9
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",TE,Total general government expenditure,train,698,30,26,4985568.2
GF0102,Foreign economic aid,D1,Compensation of employees,holdout,117,29,5,10309.3
GF0102,Foreign economic aid,D1,Compensation of employees,train,668,29,26,28436.8
GF0102,Foreign economic aid,D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",holdout,109,27,5,124.3
GF0102,Foreign economic aid,D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",train,631,27,26,358.3
GF0102,Foreign economic aid,D3,Subsidies,holdout,109,27,5,22.2
GF0102,Foreign economic aid,D3,Subsidies,train,635,28,26,411.4
GF0102,Foreign economic aid,D4,Property income,holdout,109,27,5,4.2
GF0102,Foreign economic aid,D4,Property income,train,631,27,26,24.1
GF0102,Foreign economic aid,D4_S1311,"Property income, of which payable to subsector S1311",holdout,4,1,4,0.0
GF0102,Foreign economic aid,D4_S1311,"Property income, of which payable to subsector S1311",train,20,1,20,0.0
GF0102,Foreign economic aid,D4_S1312,"Property income, of which payable to subsector S1312",holdout,4,1,4,0.0
GF0102,Foreign economic aid,D4_S1312,"Property income, of which payable to subsector S1312",train,20,1,20,0.0
GF0102,Foreign economic aid,D4_S1313,"Property income, of which payable to subsector S1313",holdout,4,1,4,0.0
GF0102,Foreign economic aid,D4_S1313,"Property income, of which payable to subsector S1313",train,20,1,20,0.0
GF0102,Foreign economic aid,D4_S1314,"Property income, of which payable to subsector S1314",holdout,4,1,4,0.0
GF0102,Foreign economic aid,D4_S1314,"Property income, of which payable to subsector S1314",train,20,1,20,0.0
GF0102,Foreign economic aid,D62,Social benefits other than social transfers in kind,holdout,105,26,5,0.0
GF0102,Foreign economic aid,D62,Social benefits other than social transfers in kind,train,588,26,26,0.9
GF0102,Foreign economic aid,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,holdout,105,26,5,0.0
GF0102,Foreign economic aid,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,train,611,26,26,0.9
GF0102,Foreign economic aid,D632,Social transfers in kind - purchased market production,holdout,105,26,5,0.0
GF0102,Foreign economic aid,D632,Social transfers in kind - purchased market production,train,588,26,26,0.0
GF0102,Foreign economic aid,D7,Other current transfers,holdout,117,29,5,138728.8
GF0102,Foreign economic aid,D7,Other current transfers,train,684,30,26,455675.4
GF0102,Foreign economic aid,D7_S1311,"Other current transfers,of which payable to subsector S1311",holdout,4,1,4,0.0
GF0102,Foreign economic aid,D7_S1311,"Other current transfers,of which payable to subsector S1311",train,20,1,20,0.0
GF0102,Foreign economic aid,D7_S1312,"Other current transfers,of which payable to subsector S1312",holdout,4,1,4,0.0
GF0102,Foreign economic aid,D7_S1312,"Other current transfers,of which payable to subsector S1312",train,20,1,20,0.0
GF0102,Foreign economic aid,D7_S1313,"Other current transfers,of which payable to subsector S1313",holdout,4,1,4,0.0
GF0102,Foreign economic aid,D7_S1313,"Other current transfers,of which payable to subsector S1313",train,20,1,20,0.0
GF0102,Foreign economic aid,D7_S1314,"Other current transfers,of which payable to subsector S1314",holdout,4,1,4,0.0
GF0102,Foreign economic aid,D7_S1314,"Other current transfers,of which payable to subsector S1314",train,20,1,20,0.0
GF0102,Foreign economic aid,D9,Capital transfers,holdout,113,29,5,64962.5
GF0102,Foreign economic aid,D9,Capital transfers,train,651,30,26,198092.2
GF0102,Foreign economic aid,D92,Investment grants,holdout,112,28,5,36791.7
GF0102,Foreign economic aid,D92,Investment grants,train,651,29,26,90362.1
GF0102,Foreign economic aid,D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)",holdout,4,1,4,0.0
GF0102,Foreign economic aid,D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)",train,20,1,20,0.0
GF0102,Foreign economic aid,D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)",holdout,4,1,4,0.0
GF0102,Foreign economic aid,D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)",train,20,1,20,0.0
GF0102,Foreign economic aid,D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)",holdout,4,1,4,0.0
GF0102,Foreign economic aid,D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)",train,20,1,20,0.0
GF0102,Foreign economic aid,D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)",holdout,4,1,4,0.0
GF0102,Foreign economic aid,D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)",train,20,1,20,0.0
GF0102,Foreign economic aid,NP,Acquisitions less disposals of non-financial non-produced assets,holdout,110,28,5,0.0
GF0102,Foreign economic aid,NP,Acquisitions less disposals of non-financial non-produced assets,train,631,27,26,12.4
GF0102,Foreign economic aid,OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,holdout,116,29,5,392.6
GF0102,Foreign economic aid,OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,train,655,29,26,2776.9
GF0102,Foreign economic aid,P2,Intermediate consumption,holdout,117,29,5,13610.2
GF0102,Foreign economic aid,P2,Intermediate consumption,train,669,29,26,39011.9
GF0102,Foreign economic aid,P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements",holdout,113,28,5,13494.8
GF0102,Foreign economic aid,P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements",train,644,28,26,36949.3
GF0102,Foreign economic aid,P3,Final consumption expenditure,holdout,117,29,5,25202.1
GF0102,Foreign economic aid,P3,Final consumption expenditure,train,670,29,26,66364.3
GF0102,Foreign economic aid,P31,Individual consumption expenditure,holdout,77,19,5,0.0
GF0102,Foreign economic aid,P31,Individual consumption expenditure,train,474,20,26,0.0
GF0102,Foreign economic aid,P32,Collective consumption expenditure,holdout,105,26,5,8692.9
GF0102,Foreign economic aid,P32,Collective consumption expenditure,train,612,26,26,32794.8
GF0102,Foreign economic aid,P5,Gross capital formation,holdout,116,29,5,392.6
GF0102,Foreign economic aid,P5,Gross capital formation,train,651,28,26,2775.0
GF0102,Foreign economic aid,P51G,Gross fixed capital formation,holdout,116,29,5,392.6
GF0102,Foreign economic aid,P51G,Gross fixed capital formation,train,652,29,26,2777.9
GF0102,Foreign economic aid,TE,Total general government expenditure,holdout,121,30,5,228154.1
GF0102,Foreign economic aid,TE,Total general government expenditure,train,696,30,26,724768.3
GF0103,General services,D1,Compensation of employees,holdout,121,30,5,356818.3
GF0103,General services,D1,Compensation of employees,train,698,30,26,1467787.1
GF0103,General services,D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",holdout,113,28,5,10096.7
GF0103,General services,D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",train,635,28,26,37210.8
GF0103,General services,D3,Subsidies,holdout,111,28,5,94.0
GF0103,General services,D3,Subsidies,train,658,29,26,853.3
GF0103,General services,D4,Property income,holdout,109,27,5,257.1
GF0103,General services,D4,Property income,train,635,28,26,1649.4
GF0103,General services,D4_S1311,"Property income, of which payable to subsector S1311",holdout,4,1,4,0.0
GF0103,General services,D4_S1311,"Property income, of which payable to subsector S1311",train,20,1,20,0.0
GF0103,General services,D4_S1312,"Property income, of which payable to subsector S1312",holdout,4,1,4,0.0
GF0103,General services,D4_S1312,"Property income, of which payable to subsector S1312",train,20,1,20,0.0
GF0103,General services,D4_S1313,"Property income, of which payable to subsector S1313",holdout,4,1,4,0.0
GF0103,General services,D4_S1313,"Property income, of which payable to subsector S1313",train,20,1,20,0.0
GF0103,General services,D4_S1314,"Property income, of which payable to subsector S1314",holdout,4,1,4,0.0
GF0103,General services,D4_S1314,"Property income, of which payable to subsector S1314",train,20,1,20,0.0
GF0103,General services,D62,Social benefits other than social transfers in kind,holdout,105,26,5,0.0
GF0103,General services,D62,Social benefits other than social transfers in kind,train,588,26,26,144.7
GF0103,General services,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,holdout,105,26,5,0.0
GF0103,General services,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,train,611,26,26,144.7
GF0103,General services,D632,Social transfers in kind - purchased market production,holdout,105,26,5,0.0
GF0103,General services,D632,Social transfers in kind - purchased market production,train,588,26,26,0.0
GF0103,General services,D7,Other current transfers,holdout,121,30,5,18060.0
GF0103,General services,D7,Other current transfers,train,688,30,26,71153.6
GF0103,General services,D7_S1311,"Other current transfers,of which payable to subsector S1311",holdout,4,1,4,0.0
GF0103,General services,D7_S1311,"Other current transfers,of which payable to subsector S1311",train,20,1,20,0.0
GF0103,General services,D7_S1312,"Other current transfers,of which payable to subsector S1312",holdout,4,1,4,0.0
