codelist_id,code,label_en,parent_code,description
CL_GFS_INDICATOR,GDD4D1_L_SP_NV_MI,"Gross debt (D1) debt liabilities, Stock positions, Nominal value, Memorandum Item",,"The total debt liabilities categorized under classification D1, specifically including D1 debt liabilities. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Nominal value Memorandum Item"
CL_GFS_INDICATOR,GDD4D1_SFD_L_T,"Gross debt (D1) debt liabilities, Stock-flow discrepancy, Transactions",,"The total debt liabilities categorized under classification D1, specifically including D1 debt liabilities. Stock-flow discrepancy Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,GDD4D2T_G33_L_T_MV_MI,"Gross debt (D2) transactions, (D2) debt liabilities transactions, Net incurrence of , Liabilities, Transactions, Market value, Memorandum Item",,"The total debt liabilities categorized under classification (D2), including transactions and (D2) debt liabilities. The net increase in the government's liabilities to domestic creditors, representing new borrowing from domestic sources minus repayments. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value. Market value Memorandum Item"
CL_GFS_INDICATOR,GDD4D2_L_SP_FV_MI,"Gross debt (D2), debt liabilities, Stock positions, Face value, Memorandum Item",,"The total debt liabilities categorized under classification (D2), specifically including (D2) debt liabilities. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Face value Memorandum Item"
CL_GFS_INDICATOR,GDD4D2_L_SP_MV_MI,"Gross debt (D2), debt liabilities, Stock positions, Market value, Memorandum Item",,"The total debt liabilities categorized under classification (D2), specifically including (D2) debt liabilities. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Market value Memorandum Item"
CL_GFS_INDICATOR,GDD4D2_L_SP_NV_MI,"Gross debt (D2), debt liabilities, Stock positions, Nominal value, Memorandum Item",,"The total debt liabilities categorized under classification (D2), specifically including (D2) debt liabilities. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Nominal value Memorandum Item"
CL_GFS_INDICATOR,GDD4D3T_G33_L_T_MV_MI,"Gross debt (D3) transactions, (D3) debt liabilities transactions, Net incurrence of , Liabilities, Transactions, Market value, Memorandum Item",,"The total debt liabilities categorized under classification (D3), including transactions and (D)3 debt liabilities. The net increase in the government's liabilities to domestic creditors, representing new borrowing from domestic sources minus repayments. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value. Market value Memorandum Item"
CL_GFS_INDICATOR,GDD4D3_L_SP_FV_MI,"Gross debt (D3)  debt liabilities, Stock positions, Face value, Memorandum Item",,"The total debt liabilities categorized under classification D3, specifically including D3 debt liabilities. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Face value Memorandum Item"
CL_GFS_INDICATOR,GDD4D3_L_SP_MV_MI,"Gross debt (D3)  debt liabilities, Stock positions, Market value, Memorandum Item",,"The total debt liabilities categorized under classification D3, specifically including D3 debt liabilities. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Market value Memorandum Item"
CL_GFS_INDICATOR,GDD4D3_L_SP_NV_MI,"Gross debt (D3)  debt liabilities, Stock positions, Nominal value, Memorandum Item",,"The total debt liabilities categorized under classification D3, specifically including D3 debt liabilities. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Nominal value Memorandum Item"
CL_GFS_INDICATOR,GDD4NCDD1_L_SP_MI,"Gross debt (D1), net of currency and deposits assets, (D1) debt liabilities net of currency and deposits , Stock positions, Memorandum Item",,"The total debt liabilities categorized under classification (D1), net of currency and deposit assets, specifically including (D1) debt liabilities. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Memorandum Item"
CL_GFS_INDICATOR,GDD4NCDD2_L_SP_MI,"Gross debt (D2), net of currency and deposits assets, (D2) debt liabilities net of currency and deposits , Stock positions, Memorandum Item",,"The total debt liabilities categorized under classification (D2), net of currency and deposit assets, specifically including (D2) debt liabilities. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Memorandum Item"
CL_GFS_INDICATOR,GDD4NCDD3_L_SP_MI,"Gross debt (D3), net of currency and deposits assets, (D3) debt liabilities net of currency and deposits , Stock positions, Memorandum Item",,"The total debt liabilities categorized under classification (D3), net of currency and deposit assets, specifically including (D3) debt liabilities. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Memorandum Item"
CL_GFS_INDICATOR,GDD4NCD_L_SP_MV_MI,"Gross debt (D4), net of currency and deposits assets, Liabilities, Stock positions, Market value, Memorandum Item",,"The total debt liabilities categorized under classification D4, net of currency and deposit assets. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Market value Memorandum Item"
CL_GFS_INDICATOR,GDD4_L_SP_FV_MI,"Gross debt (D4), Liabilities, Stock positions, Face value, Memorandum Item",,"The total debt liabilities, including various economic flows and transactions, as categorized under classification D4. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Face value Memorandum Item"
CL_GFS_INDICATOR,GDD4_L_SP_MV_MI,"Gross debt (D4), Liabilities, Stock positions, Market value, Memorandum Item",,"The total debt liabilities, including various economic flows and transactions, as categorized under classification D4. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Market value Memorandum Item"
